Event,TP,FP,FN,Precision,Recall,F-1
anchoredOrMoored,56451046,5517162,5622298,0.9109678627466523,0.9094249215895313,0.9101957382797016
changingSpeed,79612690,48661896,277155,0.6206427358884635,0.996530785608609,0.7649019538789507
drifting,63552610,9973080,1269783,0.8643592464076162,0.9804113526015616,0.9187349563781091
gap,6294759988,95970960,230133066,0.9849827882317539,0.9647299865154234,0.9747511985522725
highSpeedNearCoast,6698602,3840425,61138,0.6355996620940434,0.990955569297044,0.774460052557503
inSAR,240934,4130,22,0.9831472594913981,0.9999086970235229,0.9914571416814123
loitering,78696159,31030746,15256847,0.717200207187107,0.8376119333531489,0.7727434543115055
lowSpeed,47397356,25563384,12066397,0.6496282247137296,0.7970797941394651,0.7158397200735365
movingSpeed,2956511784,227967160,125963147,0.9284130421306375,0.9591357108104247,0.9435243478634985
pilotOps,15526,2323,3814,0.8698526528096812,0.8027921406411582,0.8349780849175832
rendezVous,2276150,478888,610735,0.8261773521817122,0.7884449848192775,0.8068702816397885
sarMovement,2037897,17589,26008,0.9914428996354147,0.9873986448019652,0.9894166394984113
sarSpeed,11636835,1352339,7520,0.8958872211581738,0.9993541935126505,0.9447964195467081
stopped,143564089,14420654,10950700,0.9087212237956421,0.9291284667903212,0.9188115456121707
trawlSpeed,5523142,14982716,177808,0.26934459411549616,0.9688108122330489,0.42150436634633265
trawling,641036,105464,47278,0.8587220361687877,0.9313133250231725,0.8935457836346732
trawlingMovement,5199724,378512,236859,0.9321448572631205,0.9564323767336946,0.9441324455717339
tugging,27115,57,0,0.9979022523185632,1.0,0.998950024867832
tuggingSpeed,2932959722,205604944,128290604,0.9344907733693323,0.9580920897221654,0.946144272299924
underWay,2977825754,206653213,104649202,0.9351061146449707,0.9660502669141556,0.9503263596916667
withinArea,1165180596,188124377,70688621,0.8609889265514433,0.9428025069095964,0.9000403298474097
Overall,16830808755,1080650019,706339002,0.9396671129562794,0.959723267900388,0.9495893013611897
