Application: immune_g
Running Feedback Loop for all time-points in (0, 530].
holdsAt(val(h,2),1).
holdsAt(val(s,0),1).
happens(occurs(f(h),2),1).
happens(occurs(f(s),1),1).
holdsAt(val(h,2),2).
holdsAt(val(s,1),2).
happens(occurs(f(h),2),2).
happens(occurs(f(s),2),2).
holdsAt(val(h,2),3).
holdsAt(val(s,2),3).
happens(occurs(f(h),2),3).
happens(occurs(f(s),2),3).
holdsAt(val(h,2),4).
holdsAt(val(s,2),4).
happens(occurs(f(h),2),4).
happens(occurs(f(s),2),4).
holdsAt(val(h,2),5).
holdsAt(val(s,2),5).
happens(occurs(f(h),2),5).
happens(occurs(f(s),2),5).
holdsAt(val(h,2),6).
holdsAt(val(s,2),6).
happens(occurs(f(h),2),6).
happens(occurs(f(s),2),6).
holdsAt(val(h,2),7).
holdsAt(val(s,2),7).
happens(occurs(f(h),2),7).
happens(occurs(f(s),2),7).
holdsAt(val(h,2),8).
holdsAt(val(s,2),8).
happens(occurs(f(h),2),8).
happens(occurs(f(s),2),8).
holdsAt(val(h,2),9).
holdsAt(val(s,2),9).
happens(occurs(f(h),2),9).
happens(occurs(f(s),2),9).
holdsAt(val(h,2),10).
holdsAt(val(s,2),10).
happens(occurs(f(h),2),10).
happens(occurs(f(s),2),10).
holdsAt(val(h,2),11).
holdsAt(val(s,2),11).
happens(occurs(f(h),2),11).
happens(occurs(f(s),2),11).
holdsAt(val(h,2),12).
holdsAt(val(s,2),12).
happens(occurs(f(h),2),12).
happens(occurs(f(s),2),12).
holdsAt(val(h,2),13).
holdsAt(val(s,2),13).
happens(occurs(f(h),2),13).
happens(occurs(f(s),2),13).
holdsAt(val(h,2),14).
holdsAt(val(s,2),14).
happens(occurs(f(h),2),14).
happens(occurs(f(s),2),14).
holdsAt(val(h,2),15).
holdsAt(val(s,2),15).
happens(occurs(f(h),2),15).
happens(occurs(f(s),2),15).
holdsAt(val(h,2),16).
holdsAt(val(s,2),16).
happens(occurs(f(h),2),16).
happens(occurs(f(s),2),16).
holdsAt(val(h,2),17).
holdsAt(val(s,2),17).
happens(occurs(f(h),2),17).
happens(occurs(f(s),2),17).
holdsAt(val(h,2),18).
holdsAt(val(s,2),18).
happens(occurs(f(h),2),18).
happens(occurs(f(s),2),18).
holdsAt(val(h,2),19).
holdsAt(val(s,2),19).
happens(occurs(f(h),2),19).
happens(occurs(f(s),2),19).
holdsAt(val(h,2),20).
holdsAt(val(s,2),20).
happens(occurs(f(h),2),20).
happens(occurs(f(s),2),20).
holdsAt(val(h,2),21).
holdsAt(val(s,2),21).
happens(occurs(f(h),2),21).
happens(occurs(f(s),2),21).
holdsAt(val(h,2),22).
holdsAt(val(s,2),22).
happens(occurs(f(h),2),22).
happens(occurs(f(s),2),22).
holdsAt(val(h,2),23).
holdsAt(val(s,2),23).
happens(occurs(f(h),2),23).
happens(occurs(f(s),2),23).
holdsAt(val(h,2),24).
holdsAt(val(s,2),24).
happens(occurs(f(h),2),24).
happens(occurs(f(s),2),24).
holdsAt(val(h,2),25).
holdsAt(val(s,2),25).
happens(occurs(f(h),2),25).
happens(occurs(f(s),2),25).
holdsAt(val(h,2),26).
holdsAt(val(s,2),26).
happens(occurs(f(h),2),26).
happens(occurs(f(s),2),26).
holdsAt(val(h,2),27).
holdsAt(val(s,2),27).
happens(occurs(f(h),2),27).
happens(occurs(f(s),2),27).
holdsAt(val(h,2),28).
holdsAt(val(s,2),28).
happens(occurs(f(h),2),28).
happens(occurs(f(s),2),28).
holdsAt(val(h,2),29).
holdsAt(val(s,2),29).
happens(occurs(f(h),2),29).
happens(occurs(f(s),2),29).
holdsAt(val(h,2),30).
holdsAt(val(s,2),30).
happens(occurs(f(h),2),30).
happens(occurs(f(s),2),30).
holdsAt(val(h,2),31).
holdsAt(val(s,2),31).
happens(occurs(f(h),2),31).
happens(occurs(f(s),2),31).
holdsAt(val(h,2),32).
holdsAt(val(s,2),32).
happens(occurs(f(h),2),32).
happens(occurs(f(s),2),32).
holdsAt(val(h,2),33).
holdsAt(val(s,2),33).
happens(occurs(f(h),2),33).
happens(occurs(f(s),2),33).
holdsAt(val(h,2),34).
holdsAt(val(s,2),34).
happens(occurs(f(h),2),34).
happens(occurs(f(s),2),34).
holdsAt(val(h,2),35).
holdsAt(val(s,2),35).
happens(occurs(f(h),2),35).
happens(occurs(f(s),2),35).
holdsAt(val(h,2),36).
holdsAt(val(s,2),36).
happens(occurs(f(h),2),36).
happens(occurs(f(s),2),36).
holdsAt(val(h,2),37).
holdsAt(val(s,2),37).
happens(occurs(f(h),2),37).
happens(occurs(f(s),2),37).
holdsAt(val(h,2),38).
holdsAt(val(s,2),38).
happens(occurs(f(h),2),38).
happens(occurs(f(s),2),38).
holdsAt(val(h,2),39).
holdsAt(val(s,2),39).
happens(occurs(f(h),2),39).
happens(occurs(f(s),2),39).
holdsAt(val(h,2),40).
holdsAt(val(s,2),40).
happens(occurs(f(h),2),40).
happens(occurs(f(s),2),40).
holdsAt(val(h,2),41).
holdsAt(val(s,2),41).
happens(occurs(f(h),2),41).
happens(occurs(f(s),2),41).
holdsAt(val(h,2),42).
holdsAt(val(s,2),42).
happens(occurs(f(h),2),42).
happens(occurs(f(s),2),42).
holdsAt(val(h,2),43).
holdsAt(val(s,2),43).
happens(occurs(f(h),2),43).
happens(occurs(f(s),2),43).
holdsAt(val(h,2),44).
holdsAt(val(s,2),44).
happens(occurs(f(h),2),44).
happens(occurs(f(s),2),44).
holdsAt(val(h,2),45).
holdsAt(val(s,2),45).
happens(occurs(f(h),2),45).
happens(occurs(f(s),2),45).
holdsAt(val(h,2),46).
holdsAt(val(s,2),46).
happens(occurs(f(h),2),46).
happens(occurs(f(s),2),46).
holdsAt(val(h,2),47).
holdsAt(val(s,2),47).
happens(occurs(f(h),2),47).
happens(occurs(f(s),2),47).
holdsAt(val(h,2),48).
holdsAt(val(s,2),48).
happens(occurs(f(h),2),48).
happens(occurs(f(s),2),48).
