Application: phage_g
Running Feedback Loop for all time-points in (0, 100].
holdsAt(val(cI,2),1).
holdsAt(val(cro,0),1).
holdsAt(val(cII,0),1).
holdsAt(val(n,1),1).
happens(occurs(f(cI),2),1).
happens(occurs(f(cro),0),1).
happens(occurs(f(cII),0),1).
happens(occurs(f(n),0),1).
holdsAt(val(cI,2),2).
holdsAt(val(cro,0),2).
holdsAt(val(cII,0),2).
holdsAt(val(n,1),2).
happens(occurs(f(cI),2),2).
happens(occurs(f(cro),0),2).
happens(occurs(f(cII),0),2).
happens(occurs(f(n),0),2).
holdsAt(val(cI,2),3).
holdsAt(val(cro,0),3).
holdsAt(val(cII,0),3).
holdsAt(val(n,0),3).
happens(occurs(f(cI),2),3).
happens(occurs(f(cro),0),3).
happens(occurs(f(cII),0),3).
happens(occurs(f(cII),0),3).
happens(occurs(f(n),0),3).
holdsAt(val(cI,2),4).
holdsAt(val(cro,0),4).
holdsAt(val(cII,0),4).
holdsAt(val(n,0),4).
happens(occurs(f(cI),2),4).
happens(occurs(f(cro),0),4).
happens(occurs(f(cII),0),4).
happens(occurs(f(cII),0),4).
happens(occurs(f(n),0),4).
holdsAt(val(cI,2),5).
holdsAt(val(cro,0),5).
holdsAt(val(cII,0),5).
holdsAt(val(n,0),5).
happens(occurs(f(cI),2),5).
happens(occurs(f(cro),0),5).
happens(occurs(f(cII),0),5).
happens(occurs(f(cII),0),5).
happens(occurs(f(n),0),5).
holdsAt(val(cI,2),6).
holdsAt(val(cro,0),6).
holdsAt(val(cII,0),6).
holdsAt(val(n,0),6).
happens(occurs(f(cI),2),6).
happens(occurs(f(cro),0),6).
happens(occurs(f(cII),0),6).
happens(occurs(f(cII),0),6).
happens(occurs(f(n),0),6).
holdsAt(val(cI,2),7).
holdsAt(val(cro,0),7).
holdsAt(val(cII,0),7).
holdsAt(val(n,0),7).
happens(occurs(f(cI),2),7).
happens(occurs(f(cro),0),7).
happens(occurs(f(cII),0),7).
happens(occurs(f(cII),0),7).
happens(occurs(f(n),0),7).
holdsAt(val(cI,2),8).
holdsAt(val(cro,0),8).
holdsAt(val(cII,0),8).
holdsAt(val(n,0),8).
happens(occurs(f(cI),2),8).
happens(occurs(f(cro),0),8).
happens(occurs(f(cII),0),8).
happens(occurs(f(cII),0),8).
happens(occurs(f(n),0),8).
holdsAt(val(cI,2),9).
holdsAt(val(cro,0),9).
holdsAt(val(cII,0),9).
holdsAt(val(n,0),9).
happens(occurs(f(cI),2),9).
happens(occurs(f(cro),0),9).
happens(occurs(f(cII),0),9).
happens(occurs(f(cII),0),9).
happens(occurs(f(n),0),9).
holdsAt(val(cI,2),10).
holdsAt(val(cro,0),10).
holdsAt(val(cII,0),10).
holdsAt(val(n,0),10).
happens(occurs(f(cI),2),10).
happens(occurs(f(cro),0),10).
happens(occurs(f(cII),0),10).
happens(occurs(f(cII),0),10).
happens(occurs(f(n),0),10).
holdsAt(val(cI,2),11).
holdsAt(val(cro,0),11).
holdsAt(val(cII,0),11).
holdsAt(val(n,0),11).
happens(occurs(f(cI),2),11).
happens(occurs(f(cro),0),11).
happens(occurs(f(cII),0),11).
happens(occurs(f(cII),0),11).
happens(occurs(f(n),0),11).
holdsAt(val(cI,2),12).
holdsAt(val(cro,0),12).
holdsAt(val(cII,0),12).
holdsAt(val(n,0),12).
happens(occurs(f(cI),2),12).
happens(occurs(f(cro),0),12).
happens(occurs(f(cII),0),12).
happens(occurs(f(cII),0),12).
happens(occurs(f(n),0),12).
holdsAt(val(cI,2),13).
holdsAt(val(cro,0),13).
holdsAt(val(cII,0),13).
holdsAt(val(n,0),13).
happens(occurs(f(cI),2),13).
happens(occurs(f(cro),0),13).
happens(occurs(f(cII),0),13).
happens(occurs(f(cII),0),13).
happens(occurs(f(n),0),13).
holdsAt(val(cI,2),14).
holdsAt(val(cro,0),14).
holdsAt(val(cII,0),14).
holdsAt(val(n,0),14).
happens(occurs(f(cI),2),14).
happens(occurs(f(cro),0),14).
happens(occurs(f(cII),0),14).
happens(occurs(f(cII),0),14).
happens(occurs(f(n),0),14).
holdsAt(val(cI,2),15).
holdsAt(val(cro,0),15).
holdsAt(val(cII,0),15).
holdsAt(val(n,0),15).
happens(occurs(f(cI),2),15).
happens(occurs(f(cro),0),15).
happens(occurs(f(cII),0),15).
happens(occurs(f(cII),0),15).
happens(occurs(f(n),0),15).
holdsAt(val(cI,2),16).
holdsAt(val(cro,0),16).
holdsAt(val(cII,0),16).
holdsAt(val(n,0),16).
happens(occurs(f(cI),2),16).
happens(occurs(f(cro),0),16).
happens(occurs(f(cII),0),16).
happens(occurs(f(cII),0),16).
happens(occurs(f(n),0),16).
holdsAt(val(cI,2),17).
holdsAt(val(cro,0),17).
holdsAt(val(cII,0),17).
holdsAt(val(n,0),17).
happens(occurs(f(cI),2),17).
happens(occurs(f(cro),0),17).
happens(occurs(f(cII),0),17).
happens(occurs(f(cII),0),17).
happens(occurs(f(n),0),17).
holdsAt(val(cI,2),18).
holdsAt(val(cro,0),18).
holdsAt(val(cII,0),18).
holdsAt(val(n,0),18).
happens(occurs(f(cI),2),18).
happens(occurs(f(cro),0),18).
happens(occurs(f(cII),0),18).
happens(occurs(f(cII),0),18).
happens(occurs(f(n),0),18).
holdsAt(val(cI,2),19).
holdsAt(val(cro,0),19).
holdsAt(val(cII,0),19).
holdsAt(val(n,0),19).
happens(occurs(f(cI),2),19).
happens(occurs(f(cro),0),19).
happens(occurs(f(cII),0),19).
happens(occurs(f(cII),0),19).
happens(occurs(f(n),0),19).
holdsAt(val(cI,2),20).
holdsAt(val(cro,0),20).
holdsAt(val(cII,0),20).
holdsAt(val(n,0),20).
happens(occurs(f(cI),2),20).
happens(occurs(f(cro),0),20).
happens(occurs(f(cII),0),20).
happens(occurs(f(cII),0),20).
happens(occurs(f(n),0),20).
holdsAt(val(cI,2),21).
holdsAt(val(cro,0),21).
holdsAt(val(cII,0),21).
holdsAt(val(n,0),21).
happens(occurs(f(cI),2),21).
happens(occurs(f(cro),0),21).
happens(occurs(f(cII),0),21).
happens(occurs(f(cII),0),21).
happens(occurs(f(n),0),21).
holdsAt(val(cI,2),22).
holdsAt(val(cro,0),22).
holdsAt(val(cII,0),22).
holdsAt(val(n,0),22).
happens(occurs(f(cI),2),22).
happens(occurs(f(cro),0),22).
happens(occurs(f(cII),0),22).
happens(occurs(f(cII),0),22).
happens(occurs(f(n),0),22).
holdsAt(val(cI,2),23).
holdsAt(val(cro,0),23).
